Model,Corpus,Label,F1,Support
XGBoost,Combined,Diet/Nutrition,0.875,50
XGBoost,Combined,Emergent,0.45,20
XGBoost,Combined,Exercise,0.7368,21
XGBoost,Combined,Friends & Family,0.6364,40
XGBoost,Combined,Grateful Patient,0.5872,47
XGBoost,Combined,Health Education,0.7292,46
XGBoost,Combined,Laboratory/Testing,0.9677,166
XGBoost,Combined,Medications,0.8966,62
XGBoost,Combined,No Symptoms,0.8439,255
XGBoost,Combined,Non-urgent,0.9515,522
XGBoost,Combined,Outpatient Logistics/Scheduling,0.7612,74
XGBoost,Combined,Physical,0.8095,94
XGBoost,Combined,Physical Environment/Climate,0.85,20
XGBoost,Combined,Service Complaint,0.0635,18
XGBoost,Combined,Social Services,0.6207,17
XGBoost,Combined,Technical/IT,0.5556,38
XGBoost,Combined,Urgent,0.2826,42
XGBoost,Combined,Work/School,0.6111,23
XGBoost,Rwanda,Cultural/Religion,0.9091,27
XGBoost,Rwanda,Diet/Nutrition,0.8571,19
XGBoost,Rwanda,Emergent,0.4615,19
XGBoost,Rwanda,Exercise,0.7273,5
XGBoost,Rwanda,Friends & Family,0.6667,18
XGBoost,Rwanda,Grateful Patient,0.6304,36
XGBoost,Rwanda,Health Education,0.0,8
XGBoost,Rwanda,Laboratory/Testing,0.9676,165
XGBoost,Rwanda,Medications,0.875,27
XGBoost,Rwanda,No Symptoms,0.8439,255
XGBoost,Rwanda,Non-urgent,0.9423,404
XGBoost,Rwanda,Outpatient Logistics/Scheduling,0.6494,44
XGBoost,Rwanda,Physical,0.7863,67
XGBoost,Rwanda,Physical Environment/Climate,0.0,0
XGBoost,Rwanda,Service Complaint,0.0678,17
XGBoost,Rwanda,Social Services,0.2222,6
XGBoost,Rwanda,Technical/IT,0.5116,31
XGBoost,Rwanda,Urgent,0.2955,38
XGBoost,Rwanda,Work/School,0.3077,10
XGBoost,Canada,Cultural/Religion,0.9615,26
XGBoost,Canada,Diet/Nutrition,0.8852,31
XGBoost,Canada,Emergent,0.0,1
XGBoost,Canada,Exercise,0.7407,16
XGBoost,Canada,Friends & Family,0.6154,22
XGBoost,Canada,Grateful Patient,0.3529,11
XGBoost,Canada,Health Education,0.8046,38
XGBoost,Canada,Laboratory/Testing,1.0,1
XGBoost,Canada,Medications,0.9118,35
XGBoost,Canada,No Symptoms,0.0,0
XGBoost,Canada,Non-urgent,0.9833,118
XGBoost,Canada,Outpatient Logistics/Scheduling,0.9123,30
XGBoost,Canada,Physical,0.8627,27
XGBoost,Canada,Physical Environment/Climate,0.8718,20
XGBoost,Canada,Service Complaint,0.0,1
XGBoost,Canada,Social Services,0.8,11
XGBoost,Canada,Technical/IT,0.7273,7
XGBoost,Canada,Urgent,0.0,4
XGBoost,Canada,Work/School,0.7826,13
SVM,Combined,Cultural/Religion,0.8824,53
SVM,Combined,Diet/Nutrition,0.8421,50
SVM,Combined,Emergent,0.5161,20
SVM,Combined,Exercise,0.5161,21
SVM,Combined,Friends & Family,0.5352,40
SVM,Combined,Grateful Patient,0.5517,47
SVM,Combined,Health Education,0.8222,46
SVM,Combined,Laboratory/Testing,0.9547,166
SVM,Combined,Medications,0.7652,62
SVM,Combined,No Symptoms,0.8824,255
SVM,Combined,Non-urgent,0.9508,522
SVM,Combined,Outpatient Logistics/Scheduling,0.7153,74
SVM,Combined,Physical,0.7684,94
SVM,Combined,Physical Environment/Climate,0.8718,20
SVM,Combined,Service Complaint,0.2692,18
SVM,Combined,Social Services,0.5882,17
SVM,Combined,Technical/IT,0.5424,38
SVM,Combined,Urgent,0.3696,42
SVM,Combined,Work/School,0.6486,23
SVM,Rwanda,Cultural/Religion,0.8,27
SVM,Rwanda,Diet/Nutrition,0.7647,19
SVM,Rwanda,Emergent,0.5333,19
